Species,Species_name,Species_acceptedname,family,subfamily,Frequency,allergen_score_old,allergenicity_anecdotal,allergen_score_corrected,IUIS.record,SDAP.record,AllFam.record,Allergenonline.record,Allergome.record,additional_ref,react.europe.Allergome,FDA,allergenicity_strict,ref_severity,Comment_severity
Geranium_molle,Geranium molle,Geranium_molle,Geraniaceae,NA,10,0,1,0,0,0,0,0,0,0,,,0,,"Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. "
Geranium_pusillum,Geranium pusillum,Geranium_pusillum,Geraniaceae,NA,6,0,1,0,0,0,0,0,0,0,,,0,,"Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. "
Geranium_robertianum,Geranium robertianum,Geranium_robertianum,Geraniaceae,NA,1,0,1,0,0,0,0,0,0,0,,,0,,"Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. "
Glechoma_hederacea,Glechoma hederacea,Glechoma_hederacea,Lamiaceae,Nepetoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Gypsophila_paniculata,Gypsophila paniculata,Gypsophila_paniculata,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Helichrysum_arenarium,Helichrysum arenarium,Helichrysum_arenarium,Asteraceae,Asteroideae,12,0,0,0,0,0,0,0,0,0,,,0,,
Herniaria_glabra,Herniaria glabra,Herniaria_glabra,Caryophyllaceae,NA,2,0,0,0,0,0,0,0,0,0,,,0,,
Hieracium_bauhini,Hieracium bauhini,Hieracium_bauhini,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Hieracium_pilosella,Hieracium pilosella,Hieracium_pilosella,Asteraceae,Cichorioideae,15,0,0,0,0,0,0,0,0,0,,,0,,
Hieracium_umbellatum,Hieracium umbellatum,Hieracium_umbellatum,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Holosteum_umbellatum,Holosteum umbellatum,Holosteum_umbellatum,Caryophyllaceae,NA,9,0,0,0,0,0,0,0,0,0,,,0,,
Hypochaeris_radicata,Hypochaeris radicata,Hypochaeris_radicata,Asteraceae,Cichorioideae,17,0,0,0,0,0,0,0,0,0,,,0,,
Jasione_montana,Jasione montana,Jasione_montana,Campanulaceae,NA,8,0,0,0,0,0,0,0,0,0,,,0,,
